id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
149,北京恒通创新赛木科技股份有限公司,北京恒通创新赛木科技股份有限公司,市场/营销专员,<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、协助上级管理、协调市场，跟踪并监察各项市场营销计划的执行；3、协助对公司产品的市场调研活动；4、负责公司的广告定期制作及宣传工作；5、收集市场同行业信息，参与策划有关公司产品的发布、展会等活动。任职资格1、大专以上学历，营销、管理类专业为佳；2、熟悉___建材__行业，有销售和管理经验者优先；3、具备思维活跃、有积极进取的精神及接受挑战的性格；4、为人诚实、正直，性格开朗、责任心强，擅长与人沟通；5、有一定的组织协调能力，能承担和突破工作压力，是很好的时间管理者和自我任务驱动者。,销售<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>建材销售<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>直销,3-4.5千/月,,房山区,2016-03-25 00:00:00
150,深圳市富恒新材料股份有限公司,深圳市富恒新材料股份有限公司,研发助理工程师,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1.全日制硕士及以上学历，高分子材料或材料相关专业； 2.应届生或有相关工程塑料改性合成相关工作经验者优先。 注：1、本岗位薪资为月薪+提成。2、提供标准单间宿舍，入职即买五险一金。,,,硕士,深圳市,2017-04-08 00:00:00
151,上海克来机电自动化工程股份有限公司,上海克来机电自动化工程股份有限公司,销售工程师,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、<$&0005&$>根据销售部安排对接相应的客户，获取相应的项目信息并跟踪；2、<$&0005&$>项目成本核算和报价以及报价资料的准备；3、<$&0005&$>与客户紧密沟通，商务谈判，***可能的获取项目；4、<$&0005&$>与客户签定和追踪销售合同和订单，与相关部门完成合同审批和签发并跟踪；5、<$&0005&$>支持协调项目推进过程中与客户的沟通，确保项目按时保质保量交付；6、<$&0005&$>支持协调项目的验收和应收款项；7、<$&0005&$>解决客户就销售和服务提出的投诉，提高客户满意度；8、<$&0005&$>从销售和客户需求的角度，对产品的开发提供指导性建议。任职资格1、***本科及以上学历，工科、商科、管理、市场营销等相关专业，具备良好的英语读写说能力；2、三年以上销售工作经验,有外企销售工程师经历者优先；3、具备市场经验和敏感的市场观察力分析力；4、善于营销推广、沟通协调和分析解决问题；5、具备成本分析和商务谈判能力；6、独立工作能力和团队合作精神；7、具备较强的事业心和内驱动力，接受阶段性的出差；8、具有亲和力和耐心，善于与客户协调沟通。",机电<$&0007&$>仪器<$&0007&$>机械<$&0007&$>汽车<$&0007&$>电子,7千-1.2万,本科,宝山区,2022-12-02 00:00:00
152,江苏恒辉安防股份有限公司,江苏恒辉安防股份有限公司,招聘主管,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、根据现有编制及业务发展需求，协调、统计各部门的招聘需求，编制年度人员招聘计划；2、建立和完善公司的招聘流程和招聘体系；3、利用各种招聘渠道发布招聘广告，寻求招聘机构；4、执行招聘、甄选、面试、选择、安置工作；5、进行聘前测试和简历甄别工作；6、充分利用各种招聘渠道满足公司的人才需求；7、建立后备人才选拔方案和人才储备机制。任职资格：1、大专以上学历，5年以上制造型企业招聘模块管理经验；2、熟悉各种招聘渠道，并有较多的实操经验，能独立开展工作；3、熟悉相关的劳动法规，能结合企业防范用工风险；4、能适应短期出差（参加各地校招和开拓外地招聘渠道）。,招聘,10-15万/年,大专,南通市,2021-05-12 00:00:00
153,中国平安财产保险股份有限公司增城支公司,中国平安财产保险股份有限公司增城支公司,远程一体化服务作业岗,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、负责小额车险车物案件/车险人伤案件/意健险案件线上查勘，核实事故真实性，判定事故责任及保险责任，指引客户理赔。2、负责案件损失确定，线上提供解答客户理赔咨询服务，在线与客户协商确定理赔方案，指引客户索赔。岗位要求：1、本科或以上学历，车辆、机械、医学、金融、保险等相关专业优先。2、具有汽车制造、维修、车险/非车险理赔经验者优先3、具备较强的沟通能力、分析能力和应变能力，有责任心，肯于吃苦耐劳，适应性强。福利待遇：底薪＋绩效7-10k（具体根据学历、工作经验等定薪），还有年终奖、补助、激励津贴、节日福利金等你来！,,7千-1万,本科,广州市,2023-06-05 00:00:00
154,锦州神工半导体股份有限公司,锦州神工半导体股份有限公司,资深销售经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位描述1.负责新客户开发工作2.负责已有客户沟通、订单跟踪，对账回款等工作3.负责完成公司设定的销售目标4.负责其它销售相关临时性工作任职需求：1.熟练掌握销售相关流程，英语/日语/韩语至少一门语言优势2.具有良好的沟通、应变能力3.具有2年以上半导体行业销售工作经验职位福利：六险一金、周末双休、加班补助、带薪年假、定期体检、节日福利、餐补、14薪、免费通勤,销售<$&0007&$>日语<$&0007&$>英语<$&0007&$>韩语<$&0007&$>新客户开发<$&0007&$>客户沟通<$&0007&$>订单跟踪<$&0007&$>对账回款,1-1.3万・14薪,本科,锦州市,2023-06-13 00:00:00
155,锦州神工半导体股份有限公司,锦州神工半导体股份有限公司,资深销售经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位描述1.负责新客户开发工作2.负责已有客户沟通、订单跟踪，对账回款等工作3.负责完成公司设定的销售目标4.负责其它销售相关临时性工作任职需求：1.熟练掌握销售相关流程，英语/日语/韩语至少一门语言优势2.具有良好的沟通、应变能力3.具有2年以上半导体行业销售工作经验职位福利：六险一金、周末双休、加班补助、带薪年假、定期体检、节日福利、餐补、14薪、免费通勤,销售<$&0007&$>日语<$&0007&$>英语<$&0007&$>韩语<$&0007&$>新客户开发<$&0007&$>客户沟通<$&0007&$>订单跟踪<$&0007&$>对账回款,1-1.3万・14薪,本科,锦州市,2023-06-09 00:00:00
156,北京首都在线科技股份有限公司,北京首都在线科技股份有限公司,市场总监,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责1、负责进行公司整体市场战略规划，制定公司的市场总体实施方案；2、负责市场调研与分析，进行市场预测，提供业务发展的整体策略；3、负责设计、建立与维护公司的品牌定位，构建公司品牌推广计划；4、负责组织及制定市场规划、市场营销策略、产品拓展等分析模型；5、负责公司产品的市场推广、宣传、公关、活动等工作；6、负责部门团队建设及日常管理工作。任职要求1、本科以上学历，具有云计算、互联网相关学历背景；2、8年以上相关工作领域经验，3年以上市场总监，具有网络市场品牌推广经验者优先；3、具有良好的市场分析、策划、推广、公关能力；4、具有较强的执行力和组织能力，思路清晰，思维活跃，创新意识强；5、具有一定的管理能力，具备良好的沟通合作技巧及丰富的团队建设经验。,,,本科,,2016-08-08 00:00:00
157,博瑞生物医药(苏州)股份有限公司,博瑞生物医药苏州股份有限公司,合成研究员 (职位编号：3786),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、负责药物化学合成工艺的研究，熟练地完成项目实验化学反应；2、掌握产物分离提纯技术，图谱分析，以及结构鉴定（NMR、HPLC、MS）；3、承担研发项目与生产的合成工艺研发、工艺交接、工艺改进；4、硕士及以上学历，制药工程、药物合成、有机化学相关专业，具备一定英文文献的阅读能力。,,,本科,苏州市,2022-10-12 00:00:00
158,宏辉果蔬股份有限公司,宏辉果蔬股份有限公司,汕头配送司机,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>工作职责：主要负责粤东地区超市配送等（车厢长4.3米）。任职条件：1、持有C1证及两年以上小型货车安全驾驶经验，持有上岗证；2、熟悉车辆维护保养，有良好的驾驶习惯；3、能吃苦耐劳，责任心强，做事认真负责，能服从工作安排；4、潮籍，能内宿者优先（公司免费包食宿）。,,,初中,汕头市,2016-07-22 00:00:00
159,绍兴兴欣新材料股份有限公司,绍兴兴欣新材料股份有限公司,DCS专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1.负责生产过程中的自动化系统的管理操作。2.负责做好生产过程中相关参数记录，并形成合格的生产记录。职位要求：1.大专及以上学历，化工化学类相关专业；2.对化工生产行业有较强的职业意愿度，并愿意长期在本行业发展。3.有较好的工作态度和工作积极性，认真负责。,,6-8千/月,大专,绍兴市,2020-03-26 00:00:00
160,江苏海鸥冷却塔股份有限公司,江苏海鸥冷却塔股份有限公司,产品设计工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、给排水相关专业；2、有较强的的组织协调能力，良好的口头和文字表达能力；3、熟悉循环水相关专业规范；4、有循环水项目设计经验；5、熟练掌握CAD等绘图软件。,循环水项目,8千-1.5万,大专,常州市,2022-11-21 00:00:00
161,湖南百利工程科技股份有限公司,湖南百利工程科技股份有限公司,采购助理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        主要职责描述：1、 负责公司EPC项目相关设备、仪表、材料等采购，参与供应商的认证，与之建立良好关系；2、掌握相关市场行情，进行成本分析；3、 负责日常采购工作，以及定期的采购报表、采购分析等；4、与供应商沟通协调和采购订单跟催。职位要求：1、专业需求：化工、机械、仪表、电气、自动化及相关专业毕业；2、良好的沟通与谈判能力，熟练使用OFFICE软件；3、有工业产品采购工作经验者优先；能经常出差优先。,采购专员<$&0007&$>采购主管<$&0007&$>采购,5-8千,本科,岳阳市,2021-11-15 00:00:00
162,湖南裕能新能源电池材料股份有限公司,湖南裕能新能源电池材料股份有限公司,财务专员 (职位编号：B02),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        专业及学历要求：1、财务管理、会计等专业等专业；2、本科及以上学历。主要工作内容：1、根据公司管理制度审核公司内部各种费用；2、出具各种费用管理及使用标准，并出具相关规章制度；3、根据财务需求制作财务报表；4、完成办公室部分数据整理；5、完成上级领导交代的各项工作任务。,会计<$&0007&$>数据整理<$&0007&$>财务管理<$&0007&$>费用管理<$&0007&$>财务报表<$&0007&$>审核,5-8千,本科,百色市,2023-09-22 00:00:00
163,中国平安财产保险股份有限公司无锡分公司,中国平安财产保险股份有限公司无锡分公司,03611N-农险业务推动岗 (职位编号：03611N),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、负责农业保险政策、资源、综合金融、扶贫资源研究管理2、负责整体农业保险发展策略制定及发展规划3、负责推动支持农业保险招标工作4、负责农网建设及规划，搭建农村保险销售服务网络5、负责制定分公司农村综合金融及扶贫发展策略6、负责推动分公司落实农村综合金融及涉农保险发展规划  任职资格：1、本科及以上学历，农业、金融管理、保险、气象遥感、精算、财务、数理统计或相近专业2、从事农险、数据、科技、企划、精算、机构销售等相关工作2年及以上工作经验优先3、具备农业管理工作知识能力及经验、具有组织推动能力，良好的沟通协作能力4、熟悉农险发展策略，熟悉政府招投标流程,,6-8千,本科,无锡市,2023-02-03 00:00:00
164,广州市万科物业服务有限公司,广州市万科物业服务有限公司,环境经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        【岗位职责】1、对现场环境服务结果兜底，能编制项目适配的体系文件及作业SOP；2、负责不定期与保洁、绿化、消杀、专项等供应商进行沟通，评估业务交付情况；3、负责对现场日常清洁清洁品质、垃圾清运、绿化养护、消杀等现场服务进行监督管理工作；4、负责定期组织员工培训、技能提升、员工沟通会等；5、负责处理客户环境类工单投诉，对接甲方需求，能够出具相应整改方案，6、负责审核供方月度工作计划、周工作计划、月度培训计划；7、负责上级/甲方安排的其他临时性工作；内部协调、沟通其他部门开展工作。【任职要求】1、具备5年以上工作经验，3年以上同等工作岗位经验，有商务楼宇、大型商场、星级酒店环境保洁管理经验优先；2、大专以上学历，40岁以内，有绿化等相关证书优先；3、精通物业保洁管理、掌握相应的物业保洁专业知识，了解公司运营流程；4、具有较强的组织、领导、沟通调能力，良好的职业道德和敬业精神。,,1-1.5万・14薪,大专,广州市,2023-08-11 00:00:00
165,浙江通力传动科技股份有限公司,浙江通力传动科技股份有限公司,采购员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位要求：1、大专及以上学历，机械制造、机械自动化等相关专业毕业者优先；2、具备良好的市场分析能力、供应商开发能力和价格成本分析能力；3、具有一定的供应链管理能力。岗位职责：1、负责供应商的开发、管理及定期考核；2、负责供应链的相关工作，完成采购前后的业务沟通；,供应链<$&0007&$>机械制造<$&0007&$>供应链管理<$&0007&$>机械自动化<$&0007&$>价格成本分析,5千-1万,大专,温州市,2024-02-22 00:00:00
166,中国平安财产保险股份有限公司无锡分公司,中国平安财产保险股份有限公司无锡分公司,0361X4-政农业务部客户经理（产品支持） (职位编号：0361X4),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1、摸清当地市场，梳理、搭建政保资源库；2、根据需求，联合产品部门进行方案制作；3、开展行销支持和追踪检视，含队伍培训、政策解读、招投标管理、营销活动组织等；4、项目管理及追踪。  任职资格：1、本科及以上学历，保险、法学、公共关系、数理统计或相近专业优先。2、党员优先。3、具有政策敏感性、沟通协调能力强，具有扎实的文字功底。4、具备两年及以上两核工作经验者优先。,,6-8千,本科,无锡市,2023-07-31 00:00:00
167,浙江百达精工股份有限公司,浙江百达精工股份有限公司,ERP系统维护员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、负责进行系统设计，参与项目的编程、调试和模块测试工作；2、负责公司的软件开发及时响应业务内容的技术需求；3、负责定期对系统进行维护和升级；4、负责配合其他部门进行ERP数据处理、查询，统计和分析工作。任职资格：1、计算机相关专业，本科以上学历；2、两年以上ERP运维工作经验丰富者非本专业的亦可；3、沟通表达清晰，有1年以上工作经验者优先；4、懂SQL数据库，具备一定的开发能力优先考虑。,ERP,6-8千/月,本科,台州市,2020-12-08 00:00:00
168,江苏固德威电源科技股份有限公司,江苏固德威电源科技股份有限公司,初级项目管理工程师,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1 负责项目整理跟进，规划，管理，从立项到结案2 负责各跨部门的沟通协调，包括设计进度，生产进度，物料采购进度，样机试用反馈3 监督各部门的项目节点如期完成4 负责协调项目所涉及的各方及各成员5 项目试做计划完成后进行总结分析，协调各相关部门在规定的时间内完成改善，推动执行  岗位要求1 2年以上项目管理方面经验，家电，汽车行业优先2 本科学历，机械类，电气类，通信工程类优先3 具有良好的沟通协调能力4 具有良好的英语读写能力，听说一般即可5 有PMP证书优先,,4-7千/月,本科,苏州市,2019-02-25 00:00:00
169,中国平安人寿保险股份有限公司佛山中心支公司,中国平安人寿保险股份有限公司佛山中心支公司,NS管培生（经营分析）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责：1、调研与分析公司重点专题，挖掘业务发展增长点，提出相关的建议；2、投产追踪：统筹对机构投产目标进行分解、追踪分析；3、考核方案测算、核心业务数据跟进、督导；4、部门指标数据预测。任职资格：1、本科及以上学历，2024应届毕业；2、具备较强逻辑思维能力；3、熟练使用EXCEL、PPT等办公软件。,数据跟进<$&0007&$>excel,7千-1万,本科,佛山市,2023-06-19 00:00:00
170,宁夏嘉泽新能源股份有限公司,宁夏嘉泽新能源股份有限公司,驻场代表,"<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、名额：3名2、年龄：28-50岁3、学历：专科及以上学历，发电厂运行、电气工程及其自动化专业、机电一体等电力相关专业。4、工作经验：具有4年以上330kV/220kV/110kv变电站运行管理工作经验，熟悉变电站、发电厂生产管理模式，掌握行业安全生产管理标准。5、品行端正、责任心强，有强烈的服务意识、良好的学习及沟通能力。6、能够吃苦耐劳，适应长期驻外工作，有330kV/220kV/110kv变电站运行风电场运维值长经验者优先。职位职责：1、代表公司，负责具体电场的运维外包业务现场安全、质量、进度、服务规范等工作的监督, 代表公司，负责代维合同相关业务现场实施，验收、审核工作，对于具体电场的生产外包管理指标负责。2、落实公司及生产运营部相关运维外包生产管理政策、规范、制度等具体要求。3、 参与电场日常各项运行维护业务，了解实际状态，数据、存在的生产、运维、安全、质量等问题，形成实况报告，定期反馈公司。5、积极学习并利用现场工作机会、锻炼提升自身技术综合水平。",,,,吴忠市,2017-02-14 00:00:00
171,中国平安人寿保险股份有限公司广东分公司越秀二区营销服务部,中国平安人寿保险股份有限公司广东分公司越秀二区营销服务部,优才三新经理人（主管/经理从零培养计划） (职位编号：009),"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        【平安人寿广东分公司”三新经理人“人才培养计划】        平安已不再是传统的平安，在后疫情时代的经济上升期，这也许是您实现财富和技能双丰收的机会，名大研修将会使人生更加添彩，期待我们通过双向选择结缘，一百万创业基金只要努力都有机会获取。【新平安】        转型后的平安集团致力于成为客户综合金融、医疗健康服务提供商（保险投资、居家养老、健康检测）。平安居家养老、平安高端养老社区、中国平安""金越""系列、平安银行是平安未来的发展方向。【新梦想】         成就自己的梦想，这是实现财富和技能双丰收的机会，把握这个机会利用平安的平台成就自己，合格学员将会派遣至厦门大学进行管理类研修，颁发国家认证证书，助您事业如虎添翼。【新经理】         公司对入选该计划的学员有严格的要求，同时您可以通过公司培训进一步了解公司，这是一个双向选择。本计划成功晋升经理人的学员将获得公司提供一百万创业基金的支持。【工作职责】根据公司提供的精准客户进行各类保险销售工作。【基本条件补充】1、品貌端正，身体健康2、无不良嗜好，无违法犯罪记录3、性格开朗，善于与人沟通4、有一定的亲和力和企图心【福利待遇及支持】（一）、专业培训：公司根据销售人员发展阶段，提供从销售到管理各个阶段丰富的培训，不收取任何费用，帮您成功；（二）、一经录用，将有老同事指导协助，达到业务快速上手，助您入行一臂之力（三）、职业规划：公司提供公平公正公开的晋升通道，升职无须走后门，完全系统管控晋升指标，能力是是否晋升的决定因素；（四）、收入丰厚公司提供有吸引力的新人津贴（入司即给1000+入行津贴，缓解求职者因待业造成的经济压力。），助您健康起步，根据不同职级提供展业、管理等多项佣金、津贴、高比例提成（2023年同职级同事平均月收入为16620元）;（五）、福利保障根据不同职级提供涵盖意外伤害、意外医疗、住院医疗、身故、养老补贴等多项大额保险保障；一台泥泞路上的超跑永远跑不过高速路上的面包车，说明平台很重要；一只饿虎再凶猛，也架不住群狼，说明团队很重要；一个再优秀的男人，没有女人配合，也生不出子女，说明合作很重要；一瓶可乐的价值，取决于它放在超市还是放在星级酒店，说明选择比努力更重要。         如果您是心怀梦想的人，而且您的年龄在25岁至45岁之间，学历大专及以上，不妨投下人生启航的简历，或者Hi聊助理。平安欢迎您！",面销/陌拜<$&0007&$>电话销售<$&0007&$>网络/线上销售<$&0007&$>To<$&0007&$>C（个人）<$&0007&$>双休<$&0007&$>内勤<$&0007&$>门店/柜台销售<$&0007&$>地推<$&0007&$>保险<$&0007&$>平安保险<$&0007&$>销售<$&0007&$>业务员<$&0007&$>高薪<$&0007&$>优才<$&0007&$>三新经理人,1.5-3万,大专,广州市,2023-07-11 00:00:00
172,中国平安财产保险股份有限公司重庆分公司,中国平安财产保险股份有限公司重庆分公司,03621D-风控工程师 (职位编号：03621D),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1.市场研究：分析研究特定行业或板块市场发展现状与趋势，客户保险需求；2.风险研究：参与行业风险识别、筛选以及我司经营政策的制定；3.项目服务：重大项目陪展、风控、定价、理赔支持，以及提供专业化培训。  任职资格：1.本科以上学历，具备5~8年企业安全管理经验；2.具备大型汽车制造业内从事安全管理工作经验优先；3.具有国家资质认证（如：注安、注消、高级工程师等）或中级以上职称。,,1.5-2万,本科,江北区,2023-08-17 00:00:00
173,江苏富淼科技股份有限公司,江苏富淼科技股份有限公司,智能化装备工程师(J10004),<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责:1.参与生产工艺讨论并承接其中工艺工程化部分中，相关设备的智能化设计工作，涉及数采与控制闭环、设备的结构设计、工艺参数计算等2. 针对工艺流程图(PFD)布置出合理的仪表测量点、配置最优化的控制方案以及做出最优性价比的仪表&控制系统的选型。后期通过HAZOP分析，形成完善的联锁逻辑，并付诸组态。3. 材料选择与耐腐蚀性能评估：根据工艺要求和介质特性，选择适合传感器本体材料，并进行耐腐蚀性能评估，确保装备在工作环境下的稳定性和耐久性。4. 技术文件编制：参与设计（院）编制化工仪表&自动化的技术文件：包括设计图纸、工艺管道仪表流程图P&ID、协助工艺研发人员完善工艺参数表等，确保设计方案的准确性和可实施性。5. 与供应商和客户的沟通与协调：与供应商合作，进行自动化设备（仪表及控制系统）的选型和采购，与客户进行沟通和协调，确保设计方案符合客户需求和项目要求。审核技术协议并与供货方就终稿达成共识。6. 技术支持与问题解决：提供与自控专业及智能化、数字化相关的技术支持，解答客户和项目团队的技术问题，解决设计过程中测量及控制环节的技术难题，从而更好地服务工艺与生产。7. 设备制造和调试：参与化工装备的制造和调试工作，确保装备按照设计方案进行制造和安装，并进行调试和验收。8. 质量控制：负责化工装备设计过程中的质量控制，确保设计方案符合相关标准和规范，保证装备的安全性和可靠性。9. 技术研究和创新：关注行业新技术和发展趋势，进行技术研究和创新，提出改进和优化的设计方案。任职资格:1. 技术能力：具备扎实的化工工程基础知识，熟悉化工流程、化工设备、化工工艺等相关知识。熟悉化工仪表及自控设备的设计与选型。2. 专业知识：熟悉化工行业相关标准和规范，了解化工装备的安全性、可靠性、经济性等要求。掌握化工设备的材料选择、耐腐蚀性能等知识。3. 工具使用：熟悉DCS的组态部署与PID整定等4. 沟通能力：具备良好的沟通能力和团队合作精神，能够与项目团队、供应商、客户等进行有效的沟通和协调。5. 解决问题能力：具备分析和解决问题的能力，能够快速识别和解决化工装备设计过程中的技术问题。6. 工作经验：有相关领域的工作经验，熟悉化工设备制造、工艺流程等。7. 质量意识：具备严谨的工作态度和质量意识，能够保证设计方案的质量和准确性。8. 学习能力：具备不断学习和更新知识的能力，关注行业新技术和发展趋势。9. 英语能力：具备一定的英语读写能力，能够阅读和理解相关的英文文献和技术资,自动化设备<$&0007&$>化工<$&0007&$>自动化<$&0007&$>化工工艺<$&0007&$>系统,1.5-2.5万,本科,苏州市,2024-07-29 00:00:00
174,中国平安财产保险股份有限公司深圳分公司,中国平安财产保险股份有限公司深圳分公司,培训运营专员,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        职位描述:1.负责制定和实施年度培训计划及方案，确保公司整体的培训需求与部门计划的一致性2.负责组织内部培训课程的评估与改进，协助各部门开展外部专业培训和咨询活动等工作3.负责新员工入职前的职业素养类培训、技能提升类培训以及内训活动的策划与组织等相关工作4.完成领导交办的其他工作任务职位要求:1.本科及以上学历,专业不限2.有大型企业培训管理相关工作经验优先3.良好的沟通能力、团队协作能力，学习能力强4.有较强的执行力和责任心，抗压力强",,8千-1万・15薪,本科,深圳市,2023-08-08 00:00:00
175,常州时创能源股份有限公司,常州时创能源股份有限公司,材料研发高级工程师（储能）(J10336),工作职责:1.负责电池中陶瓷或无机非金属部件的制备与开发工作；2.负责电芯陶瓷部件材料制备工艺的优化，分析与测试，包括电极/隔膜等关键组件的界面匹配性与结构集成方案；3.负责无机非金属粉体材料的制备与开发；4.构建电芯无机材料部件的测试标准与方法，编制标准化操作流程；5.负责建立相关的测试方法与标准；6.安排并检查相关测试设备的应用和维护；7.主持具体相关测试项目的具体方法构建和系统搭建；8.参与相关部门之间的协同和开发工作；9.完成领导交办的其他任务。任职资格:1.教育水平：本科及本科以上2.专业（工种）：无机材料类，硅酸盐材料类、陶瓷方向相关专业3.工作经验：有陶瓷粉体制备、成型和烧结工艺方向从业经验两年以上优先；4.知识技能：无机粉体材料测试与分析；陶瓷成型、烧结设备操作与工艺设计、工件相关性能检测与分析；5.个人素质要求：勤奋踏实，自学和动手能力强，有较强的创新精神，能适应一定强度的车间工作；,测试测试设备工艺设计测试标准测试方法系统搭建性能检测陶瓷材料制备电极,1.2-2万,本科,常州市,2025-05-12
176,中国平安财产保险股份有限公司揭阳中心支公司,中国平安财产保险股份有限公司揭阳中心支公司,一体化理赔岗,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        为适应公司高速发展需求，招聘正编后线岗位要求：本科及以上学历（专业不限)具有小轿车驾驶资格有相关从业经验者优先考虑工作地点揭阳，普宁，惠来，揭西福利补贴：五险二金、各项补助、年终奖金、员工旅游,保险<$&0007&$>理赔<$&0007&$>50强企业,10-18万/年,本科,揭阳市,2023-08-25 00:00:00
177,中国平安财产保险股份有限公司宁波分公司,中国平安财产保险股份有限公司宁波分公司,车商销售支持岗,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责1、所辖网点续保追踪、队伍业绩及指标分析，线上合作推动、合作伙伴痛点挖掘与协助解决、营销策划等；2、领导交办的其他工作事项。岗位要求：1、本科及以上学历，数统、计算机、精算、农学、新能源专业优先；2、具备销售或管理经验者优先；3、具备较强的业务公关能力及沟通协调能力；4、具备主动服务意识和责任心。,,6-8千,本科,宁波市,2023-08-04 00:00:00
178,江苏丰山集团股份有限公司,江苏丰山集团股份有限公司,化工操作工,【工作内容】-负责化工生产设备的日常操作与维护，确保生产流程正常运行；-按照工艺要求进行物料配比、投料及反应控制，保障产品质量；-参与生产现场的安全检查与隐患排查，落实安全操作规程；-协助完成生产记录与数据整理，确保数据准确完整。【任职要求】-大专及以上学历，化工类相关专业毕业；-具备基本的化工工艺知识和设备操作技能；-有责任心，能适应倒班工作，具备良好的团队协作能力；-持有化工类相关资格证书者优先考虑。,,7-8千,大专,盐城市,2025-12-17
179,中国平安人寿保险股份有限公司安徽分公司,中国平安人寿保险股份有限公司安徽分公司,金融销售代表（双休+高提成）,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责1、负责公司产品的销售及线上推广；完成部门销售指标；2、开拓新市场,发展新客户,增加产品销售范围；3、管理维护客户关系以及客户间的长期战略合作计划。任职资格1、男女不限，反应敏捷，具有较强的沟通能力及交际技巧；2、具有良好的工作态度，做事认真；3、具备吃苦耐劳的精神和良好的团队意识，有过从事过销售、计算机及互联网人员优先考虑；4、有网络公司和电话营销经验者优先考虑。5.营销、金融、经济专业优先，优秀的应届毕业生也可。双休+节假日休息+商业五险+国内外旅游+各种津贴福利，具体可以面谈或者电话联系",销售<$&0007&$>维护客户关系<$&0007&$>发展新客户<$&0007&$>开拓新市场<$&0007&$>双休<$&0007&$>高提成<$&0007&$>销售代表<$&0007&$>节假日休息<$&0007&$>营销<$&0007&$>电话营销,6千-1.2万,大专,合肥市,2023-03-30 00:00:00
180,无锡信捷电气股份有限公司,无锡信捷电气股份有限公司,机械工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位描述： 从事自动化生产线改造，非标设备设计及试装配 或者从事机械臂、机器人相关机械设计岗位要求： 1.有非标设计经验及机械臂机器人相关设计经验优先2.熟练掌握一门制图软件，如Creo、Solidsworks或其他 3.对机加工和装配工艺有一定认识和了解，有关节机械臂设计,机械设计,7千-1万,本科,无锡市,2020-11-17 00:00:00
